fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
1,3,euclidean,distance,0.7729166666666667,0.48236775818639799,0.36064030131826741,0.8900481540930979,0.41271551724137934,0.62534422770568265,0.67903128051195083,0.39844057126754617,3327,411,679,383
1,5,euclidean,distance,0.78937500000000005,0.53637660485021399,0.35404896421845572,0.91305510968432313,0.42654566080544526,0.6335520369513894,0.70054242628514196,0.44574985646116461,3413,325,686,376
1,7,euclidean,distance,0.79979166666666668,0.57757296466973884,0.35404896421845572,0.92643124665596577,0.43899591360186807,0.64024010543721077,0.71086107055446224,0.46939891591994176,3463,275,686,376
1,9,euclidean,distance,0.80437499999999995,0.59967585089141007,0.34839924670433148,0.93392188336008564,0.44073853484216796,0.64116056503220853,0.72433482057839316,0.48483208195693828,3491,247,692,370
1,11,euclidean,distance,0.80333333333333334,0.59899328859060408,0.33615819209039549,0.93606206527554847,0.43063932448733416,0.63611012868297201,0.72851530421517086,0.49592278671551182,3499,239,705,357
1,13,euclidean,distance,0.80833333333333335,0.61993243243243246,0.3455743879472693,0.93980738362760829,0.44377267230955258,0.64269088578743883,0.73440936924083,0.50158104369512257,3513,225,695,367
1,15,euclidean,distance,0.80958333333333332,0.62627986348122866,0.3455743879472693,0.9414125200642055,0.44538834951456313,0.64349345400573743,0.73613239705412625,0.50565523268241741,3519,219,695,367
1,17,euclidean,distance,0.81166666666666665,0.63620689655172413,0.34745762711864409,0.94355270197966823,0.44945188794153473,0.64550516454915619,0.73747958312803097,0.51062948970376598,3527,211,693,369
1,19,euclidean,distance,0.81291666666666662,0.6418685121107266,0.34934086629001881,0.9446227929373997,0.45243902439024392,0.64698182961370931,0.73775038062792775,0.51231782108074919,3531,207,691,371
1,21,euclidean,distance,0.81187500000000001,0.63826086956521744,0.3455743879472693,0.94435527019796683,0.44838118509468539,0.6449648290726181,0.73922679378782985,0.51532573419944039,3530,208,695,367
1,23,euclidean,distance,0.81312499999999999,0.64448336252189142,0.34651600753295669,0.94569288389513106,0.45070422535211269,0.64610444571404391,0.73894314915072856,0.51532709630576579,3535,203,694,368
1,25,euclidean,distance,0.81166666666666665,0.63811188811188813,0.34369114877589452,0.9446227929373997,0.44675642594859238,0.64415697085664714,0.73923157997619993,0.51542073893094775,3531,207,697,365
1,27,euclidean,distance,0.81208333333333338,0.64234875444839856,0.339924670433145,0.9462279293739968,0.44458128078817732,0.64307629990357085,0.74063166602682884,0.51384371240842275,3537,201,701,361
1,29,euclidean,distance,0.81395833333333334,0.651705565529623,0.34180790960451979,0.94810058855002677,0.4484249536751081,0.64495424907727328,0.74068318052797188,0.51406967676078508,3544,194,699,363
1,31,euclidean,distance,0.81499999999999995,0.65875912408759119,0.339924670433145,0.94997324772605674,0.44844720496894408,0.64494895907960093,0.74173299316129249,0.51727189741990498,3551,187,701,361
1,1,manhattan,uniform,0.73208333333333331,0.39743589743589741,0.40866290018832391,0.82397003745318353,0.40297121634168986,0.61631646882075375,0.61631646882075375,0.29325063981843641,3080,658,628,434
1,3,manhattan,uniform,0.76916666666666667,0.47132169576059851,0.3559322033898305,0.88657035848047083,0.40557939914163088,0.6212512809351507,0.66997367092587046,0.36260945604238598,3314,424,684,378
1,5,manhattan,uniform,0.78604166666666664,0.52562225475841873,0.33804143126177022,0.913322632423756,0.41146131805157593,0.62568203184276316,0.69289308965085006,0.40436720316245206,3414,324,703,359
1,7,manhattan,uniform,0.79208333333333336,0.55245901639344264,0.31732580037664782,0.9269662921348315,0.40311004784688997,0.62214604625573966,0.70504509597063392,0.4265107483239734,3465,273,725,337
1,9,manhattan,uniform,0.79916666666666669,0.58506944444444442,0.31732580037664782,0.93606206527554847,0.41147741147741146,0.62669393282609809,0.72091294779830295,0.45315524458956635,3499,239,725,337
1,11,manhattan,uniform,0.8002083333333333,0.59180035650623886,0.31261770244821091,0.93873729266987693,0.40911891558841651,0.62567749755904389,0.72624299831022354,0.46302614416249516,3509,229,730,332
1,13,manhattan,uniform,0.80541666666666667,0.62260536398467436,0.30602636534839922,0.94729802033172816,0.41035353535353536,0.62666219284006375,0.72979724698444948,0.46619418546691521,3541,197,737,325
1,15,manhattan,uniform,0.80458333333333332,0.6215686274509804,0.29849340866290019,0.94836811128945964,0.40330788804071249,0.62343075997617992,0.73393440302124358,0.47325970670602091,3545,193,745,317
1,17,manhattan,uniform,0.80562500000000004,0.62721893491124259,0.29943502824858759,0.949438202247191,0.40535372848948376,0.62443661524788929,0.73712729447351422,0.47352976329956553,3549,189,744,318
1,19,manhattan,uniform,0.80583333333333329,0.63265306122448983,0.29190207156308851,0.9518459069020867,0.39948453608247425,0.62187398923258763,0.73679742533294246,0.47503950333602502,3558,180,752,310
1,21,manhattan,uniform,0.8075,0.6425619834710744,0.2928436911487759,0.95371856607811667,0.4023285899094437,0.62328112861344631,0.73831527680794484,0.4780960020751388,3565,173,751,311
1,23,manhattan,uniform,0.80583333333333329,0.63485477178423233,0.28813559322033899,0.95291599785981806,0.39637305699481867,0.62052579554007847,0.74085724664185904,0.48229350455092668,3562,176,756,306
1,25,manhattan,uniform,0.80708333333333337,0.64166666666666672,0.29001883239171372,0.95398608881754954,0.39948119325551235,0.6220024606046316,0.74230418695758638,0.48377400279778859,3566,172,754,308
1,27,manhattan,uniform,0.80583333333333329,0.63598326359832635,0.28625235404896421,0.9534510433386838,0.39480519480519483,0.61985169869382406,0.74533812657503384,0.4868517987568462,3564,174,758,304
1,29,manhattan,uniform,0.80437499999999995,0.63002114164904865,0.28060263653483991,0.95318352059925093,0.38827361563517915,0.61689307856704545,0.74599433819106264,0.48774770252746108,3563,175,764,298
1,31,manhattan,uniform,0.80395833333333333,0.62955032119914345,0.2768361581920904,0.95371856607811667,0.38456507521255723,0.61527736213510353,0.74634045518162839,0.48868586931391023,3565,173,768,294
1,1,manhattan,distance,0.73208333333333331,0.39743589743589741,0.40866290018832391,0.82397003745318353,0.40297121634168986,0.61631646882075375,0.61631646882075375,0.29325063981843641,3080,658,628,434
